"Wavelength","dog_S","dog_L"
382,0.541682414389783,0.24743870066701
383,0.553509940668778,0.24579548285147
384,0.565556908216774,0.244080997782063
385,0.577806482255284,0.242298531669999
386,0.590241139723301,0.240451488407219
387,0.602842722205314,0.2385433850131
388,0.615592488610828,0.236577846953265
389,0.628471167169498,0.23455860334469
390,0.641459006323041,0.232489482061346
391,0.654535824117571,0.230374404754675
392,0.667681055727586,0.22821738180314
393,0.680873798775662,0.226022507205
394,0.694092856149302,0.223793953428294
395,0.707316776058476,0.221535966231798
396,0.72052388912335,0.219252859470434
397,0.733692342331593,0.216949009898262
398,0.746800129757582,0.214628851981793
399,0.759825119991675,0.212296872735892
400,0.772745080285793,0.209957606594041
401,0.785537697481366,0.207615630324158
402,0.798180595846847,0.205275558000544
403,0.810651352013712,0.202942036041899
404,0.822927507261867,0.20061973832461
405,0.834986577466887,0.198313361379775
406,0.846806061082013,0.196027619681653
407,0.858363445586814,0.193767241034403
408,0.869636212891012,0.191536962063104
409,0.880601844235718,0.189341523814208
410,0.891237825184289,0.18718566746964
411,0.901521651340523,0.185074130177855
412,0.911430835471905,0.183011641004218
413,0.920942916749289,0.181002917002144
414,0.930035472840468,0.17905265940545
415,0.938686135612547,0.177165549941448
416,0.946872611205474,0.175346247263344
417,0.954572705235205,0.173599383499564
418,0.961764353868312,0.171929560916704
419,0.96842566147898,0.170341348691904
420,0.974534945552693,0.168839279789524
421,0.98007078943719,0.1674278479362
422,0.985012103459107,0.16611150468747
423,0.989338194822976,0.164894656578443
424,0.993028846587226,0.163781662350199
425,0.996064405868956,0.162776830242943
426,0.998425881265671,0.16188441534631
427,1.00009504929853,0.16110861699663
428,1.00105456947935,0.160453576210485
429,1.00128810738491,0.159923373143434
430,1.00078046488975,0.159522024562448
431,0.999517716467817,0.159253481320316
432,0.997487350227139,0.159121625820094
433,0.994678412098832,0.159130269457593
434,0.991081651366624,0.159283150029875
435,0.98668966550549,0.159583929097844
436,0.981497042105134,0.160036189291235
437,0.975500495495194,0.160643431544568
438,0.968698995572771,0.161409072253118
439,0.961093886267578,0.162336440338409
440,0.952688991073262,0.163428774213443
441,0.943490703131543,0.164689218638596
442,0.933508057483413,0.166120821459981
443,0.922752783301108,0.167726530223093
444,0.911239334185965,0.16950918865559
445,0.898984894957567,0.171471533014333
446,0.886009363763159,0.173616188293047
447,0.872335308794041,0.175945664288447
448,0.857987899396067,0.178462351524111
449,0.842994811890002,0.18116851703304
450,0.827386110958017,0.184066300001466
451,0.811194107987028,0.187157707278273
452,0.794453198269374,0.190444608756156
453,0.777199679427632,0.193928732632536
454,0.75947155383573,0.19761166056015
455,0.74130831813672,0.201494822699114
456,0.72275074319534,0.205579492684248
457,0.703840647960521,0.209866782523303
458,0.684620670742826,0.214357637443673
459,0.665134041332064,0.219052830706982
460,0.645424357192857,0.223952958412737
461,0.625535366686972,0.22905843431392
462,0.605510761890908,0.234369484668966
463,0.585393983119562,0.239886143156055
